Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
0,4,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,36615,80,6,96,704,11,1.0,1.0,1.0,1.0,1
1,7,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,63151,80,6,96,704,11,1.0,1.0,1.0,1.0,1
2,12,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,36615,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
3,14,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,33893,80,6,95,704,11,1.0,1.0,1.0,1.0,1
4,17,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,57325,80,6,95,704,11,1.0,1.0,1.0,1.0,1
5,18,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,63151,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
6,25,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,33893,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
7,27,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,57325,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
8,28,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,39368,80,6,90,640,10,1.0,1.0,1.0,1.0,1
9,31,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,7987,80,6,90,640,10,1.0,1.0,1.0,1.0,1
10,36,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,13278,80,6,90,640,10,1.0,1.0,1.0,1.0,1
11,37,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,39368,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
12,38,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,33161,80,6,90,640,10,1.0,1.0,1.0,1.0,1
13,45,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,7987,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
14,50,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,13278,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
15,51,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,33161,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
16,52,84,9,576,0.1071428571428571,6.857142857142857,64.0,9.333333333333334,2856,80,6,84,576,9,1.0,1.0,1.0,1.0,1
17,637,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,36615,80,6,19,64,1,1.0,1.0,1.0,1.0,1
18,638,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,63151,80,6,19,64,1,1.0,1.0,1.0,1.0,1
19,639,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,33893,80,6,19,64,1,1.0,1.0,1.0,1.0,1
20,640,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,57325,80,6,19,64,1,1.0,1.0,1.0,1.0,1
21,641,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,39368,80,6,19,64,1,1.0,1.0,1.0,1.0,1
22,642,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,7987,80,6,19,64,1,1.0,1.0,1.0,1.0,1
23,643,20,1,64,0.05,3.2,64.0,20.0,13278,80,6,20,64,1,1.0,1.0,1.0,1.0,1
24,644,20,1,64,0.05,3.2,64.0,20.0,33161,80,6,20,64,1,1.0,1.0,1.0,1.0,1
25,645,20,1,64,0.05,3.2,64.0,20.0,2856,80,6,20,64,1,1.0,1.0,1.0,1.0,1
26,646,20,1,64,0.05,3.2,64.0,20.0,49380,80,6,20,64,1,1.0,1.0,1.0,1.0,1
27,647,20,1,64,0.05,3.2,64.0,20.0,9404,80,6,20,64,1,1.0,1.0,1.0,1.0,1
28,648,20,1,64,0.05,3.2,64.0,20.0,56980,80,6,20,64,1,1.0,1.0,1.0,1.0,1
29,649,20,1,64,0.05,3.2,64.0,20.0,56620,80,6,20,64,1,1.0,1.0,1.0,1.0,1
30,650,20,1,64,0.05,3.2,64.0,20.0,37240,80,6,20,64,1,1.0,1.0,1.0,1.0,1
31,963,20,1,64,0.05,3.2,64.0,20.0,5546,80,6,20,64,1,1.0,1.0,1.0,1.0,1
0,8,10,5,475,0.5,47.5,95.0,2.0,43884,80,6,10,475,5,-0.4068942293855797,2.5227442221905942,0.8111071056538127,0.0,0
1,9,10,5,742,0.5,74.2,148.4,2.0,80,43884,6,10,742,5,2.5227442221905942,-0.4068942293855797,0.8111071056538127,3.3993463423951895,0
2,12,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.2441365376313478,-0.4068942293855797,-0.6488856845230501,0.0,0
3,19,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.4068942293855797,0.2441365376313478,-0.6488856845230501,-0.4249182927993987,0
