,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,4,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.6495190528383289,-0.46852128566581824,0.5933908290969269
1,5,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.6495190528383289,0.6495190528383289,-0.46852128566581824,0.5933908290969269
2,6,10,5,475,0.5,47.5,95.0,2.0,43884,80,6,10,475,5,0.6495190528383289,1.659882023920174,1.0932163332202423,-0.11867816581938524
3,11,10,5,742,0.5,74.2,148.4,2.0,80,43884,6,10,742,5,1.659882023920174,0.6495190528383289,1.0932163332202423,2.729597813845863
4,14,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.8660254037844387,0.14433756729740638,-0.46852128566581824,-0.11867816581938524
5,17,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,0.14433756729740638,-0.8660254037844387,-0.46852128566581824,0.5933908290969269
6,23,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-1.3712068893253613,0.6495190528383289,-0.46852128566581824,-0.8307471607356973
7,24,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.6495190528383289,-1.3712068893253613,-0.46852128566581824,0.5933908290969269
8,30,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.14433756729740638,-0.46852128566581824,0.5933908290969269
9,33,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.14433756729740638,0.6495190528383289,-0.46852128566581824,0.5933908290969269
10,34,10,6,541,0.6,54.1,90.16666666666667,1.6666666666666667,43890,80,6,10,541,6,0.6495190528383289,1.659882023920174,1.0932163332202423,-0.11867816581938524
11,39,10,4,676,0.4,67.6,169.0,2.5,80,43890,6,10,676,4,1.659882023920174,0.6495190528383289,1.0932163332202423,2.729597813845863
12,46,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,1.659882023920174,2.654953952106303,0.5933908290969269
13,51,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,1.659882023920174,0.6495190528383289,2.654953952106303,-0.8307471607356973
14,53,10,6,553,0.6,55.3,92.16666666666667,1.6666666666666667,50964,80,6,10,553,6,0.6495190528383289,1.659882023920174,2.654953952106303,-0.11867816581938524
15,63,10,5,742,0.5,74.2,148.4,2.0,80,50964,6,10,742,5,1.659882023920174,0.6495190528383289,2.654953952106303,2.729597813845863
16,65,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,0.14433756729740638,1.659882023920174,-0.46852128566581824,-0.8307471607356973
17,70,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,1.659882023920174,0.14433756729740638,-0.46852128566581824,2.729597813845863
18,74,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.8660254037844387,-0.8660254037844387,-0.46852128566581824,-0.8307471607356973
19,83,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.8660254037844387,-0.8660254037844387,-0.46852128566581824,-0.11867816581938524
20,87,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,-0.8660254037844387,1.659882023920174,-0.46852128566581824,-0.8307471607356973
21,92,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,1.659882023920174,-0.8660254037844387,-0.46852128566581824,2.729597813845863
22,97,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.6495190528383289,0.14433756729740638,-0.46852128566581824,0.5933908290969269
23,100,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.14433756729740638,0.6495190528383289,-0.46852128566581824,0.5933908290969269
24,102,12,7,627,0.5833333333333334,52.25,89.57142857142857,1.7142857142857142,50972,80,6,12,627,7,0.6495190528383289,1.659882023920174,2.654953952106303,-0.11867816581938524
25,113,10,5,742,0.5,74.2,148.4,2.0,80,50972,6,10,742,5,1.659882023920174,0.6495190528383289,2.654953952106303,2.729597813845863
