,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,7,85,10,640,0.11764705882352941,7.529411764705882,64.0,8.5,30636,80,6,85,640,10,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
1,9,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,30636,6,85,540,10,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
2,11,85,10,640,0.11764705882352941,7.529411764705882,64.0,8.5,31616,80,6,85,640,10,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
3,14,85,10,640,0.11764705882352941,7.529411764705882,64.0,8.5,18917,80,6,85,640,10,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
4,15,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,31616,6,85,540,10,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
5,16,95,11,704,0.11578947368421053,7.410526315789474,64.0,8.636363636363637,21155,80,6,95,704,11,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
6,18,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,18917,6,85,540,10,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
7,19,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,21155,6,95,594,11,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
8,23,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.4298730911847296,-0.6767529681839596,-0.4681835639426528,-0.5604300806688541
9,26,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.6209277983779428,-0.4685212856658182,-0.4681835639426528,-0.45616401914906735
10,29,10,5,463,0.5,46.3,92.6,2.0,55420,80,6,10,463,5,-0.4298730911847296,0.8849846507021011,-0.18007060151640494,-0.3518979576292805
11,32,10,4,676,0.4,67.6,169.0,2.5,80,55420,6,10,676,4,2.0538381023270413,-0.4685212856658182,-0.18007060151640494,2.4632857034049636
12,36,10,5,475,0.5,47.5,95.0,2.0,55422,80,6,10,475,5,-0.4298730911847296,0.8849846507021011,-0.18007060151640494,-0.3518979576292805
13,39,10,4,676,0.4,67.6,169.0,2.5,80,55422,6,10,676,4,2.0538381023270413,-0.4685212856658182,-0.18007060151640494,2.4632857034049636
14,42,91,10,640,0.10989010989010989,7.032967032967033,64.0,9.1,9705,80,6,91,640,10,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
15,43,91,10,540,0.10989010989010989,5.934065934065934,54.0,9.1,80,9705,6,91,540,10,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
16,46,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,38970,80,6,90,640,10,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
17,48,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,38970,6,90,540,10,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
18,50,80,9,576,0.1125,7.2,64.0,8.88888888888889,48893,80,6,80,576,9,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
19,52,80,9,576,0.1125,7.2,64.0,8.88888888888889,10871,80,6,80,576,9,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
20,53,80,9,486,0.1125,6.075,54.0,8.88888888888889,80,48893,6,80,486,9,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
21,71,10,5,463,0.5,46.3,92.6,2.0,52728,80,6,10,463,5,-0.7164551519745493,0.8849846507021011,-0.4681835639426528,-0.5604300806688541
22,74,10,4,676,0.4,67.6,169.0,2.5,80,52728,6,10,676,4,2.0538381023270413,-0.7808688094430304,-0.4681835639426528,2.4632857034049636
23,79,74,8,512,0.10810810810810811,6.918918918918919,64.0,9.25,56773,80,6,74,512,8,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
24,80,74,8,432,0.10810810810810811,5.837837837837838,54.0,9.25,80,56773,6,74,432,8,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
25,95,10,5,487,0.5,48.7,97.4,2.0,48360,80,6,10,487,5,-0.7164551519745493,0.8849846507021011,-0.4681835639426528,-0.5604300806688541
26,98,10,4,676,0.4,67.6,169.0,2.5,80,48360,6,10,676,4,2.0538381023270413,-0.7808688094430304,-0.4681835639426528,2.4632857034049636
27,102,68,7,448,0.10294117647058823,6.588235294117647,64.0,9.714285714285714,60334,80,6,68,448,7,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
28,131,10,5,475,0.5,47.5,95.0,2.0,55432,80,6,10,475,5,-0.4298730911847296,0.8849846507021011,-0.18007060151640494,-0.3518979576292805
29,134,10,5,742,0.5,74.2,148.4,2.0,80,55432,6,10,742,5,2.0538381023270413,-0.4685212856658182,-0.18007060151640494,2.4632857034049636
30,153,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.6209277983779428,1.8220272220337375,-0.4681835639426528,-0.45616401914906735
31,154,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.4298730911847296,-0.6767529681839596,-0.4681835639426528,-0.5604300806688541
32,214,56,6,324,0.10714285714285714,5.785714285714286,54.0,9.333333333333334,80,33261,6,56,324,6,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
33,216,56,6,324,0.10714285714285714,5.785714285714286,54.0,9.333333333333334,80,32421,6,56,324,6,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
34,219,46,5,270,0.10869565217391304,5.869565217391305,54.0,9.2,80,59050,6,46,270,5,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
35,222,46,4,256,0.08695652173913043,5.565217391304348,64.0,11.5,38099,80,6,46,256,4,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
36,466,16,1,64,0.0625,4.0,64.0,16.0,30636,80,6,16,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
37,467,16,1,64,0.0625,4.0,64.0,16.0,31616,80,6,16,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
38,468,16,1,64,0.0625,4.0,64.0,16.0,18917,80,6,16,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
39,469,17,1,64,0.058823529411764705,3.764705882352941,64.0,17.0,48893,80,6,17,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
40,470,17,1,64,0.058823529411764705,3.764705882352941,64.0,17.0,10871,80,6,17,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
41,471,17,1,64,0.058823529411764705,3.764705882352941,64.0,17.0,56773,80,6,17,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
42,472,17,1,64,0.058823529411764705,3.764705882352941,64.0,17.0,32071,80,6,17,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
43,473,17,1,64,0.058823529411764705,3.764705882352941,64.0,17.0,13267,80,6,17,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
44,634,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,21155,80,6,18,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
45,635,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,9705,80,6,18,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
46,636,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,38970,80,6,18,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
47,769,19,1,54,0.05263157894736842,2.8421052631578947,54.0,19.0,80,48893,6,19,54,1,0.4298730911847296,0.8849846507021011,1.1164377294017105,0.5864965960488009
48,772,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,10871,80,6,19,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
49,781,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,32071,80,6,18,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
50,782,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,13267,80,6,18,64,1,2.0538381023270413,1.8220272220337375,2.9891719851723217,2.4632857034049636
