cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
4,63,7,364,0.1111111111111111,5.777777777777778,52.0,9.0,53291,80,17,63,364,7,1.0,1.0,1.0,0.9640541410352405,1
6,63,7,448,0.1111111111111111,7.111111111111111,64.0,9.0,9850,80,6,63,448,7,1.0,1.0,1.0,0.8085615376424597,1
7,63,7,378,0.1111111111111111,6.0,54.0,9.0,80,9850,6,63,378,7,-1.0,-1.0,-1.0,0.6530689342496789,1
8,64,7,448,0.109375,7.0,64.0,9.142857142857142,34725,80,6,64,448,7,1.0,1.0,1.0,0.8085615376424597,1
9,64,7,378,0.109375,5.90625,54.0,9.142857142857142,80,34725,6,64,378,7,-1.0,-1.0,-1.0,0.6530689342496789,1
10,64,7,448,0.109375,7.0,64.0,9.142857142857142,44858,80,6,64,448,7,1.0,1.0,1.0,0.8085615376424597,1
11,64,7,378,0.109375,5.90625,54.0,9.142857142857142,80,44858,6,64,378,7,-1.0,-1.0,-1.0,0.6530689342496789,1
12,58,6,312,0.1034482758620689,5.379310344827586,52.0,9.666666666666666,34315,80,17,58,312,6,1.0,1.0,1.0,0.9640541410352405,1
13,58,6,384,0.1034482758620689,6.620689655172414,64.0,9.666666666666666,48831,80,6,58,384,6,1.0,1.0,1.0,0.8085615376424597,1
14,58,6,324,0.1034482758620689,5.586206896551724,54.0,9.666666666666666,80,48831,6,58,324,6,-1.0,-1.0,-1.0,0.6530689342496789,1
15,57,6,384,0.1052631578947368,6.7368421052631575,64.0,9.5,50182,80,6,57,384,6,1.0,1.0,1.0,0.8085615376424597,1
16,57,6,324,0.1052631578947368,5.684210526315789,54.0,9.5,80,50182,6,57,324,6,-1.0,-1.0,-1.0,0.6530689342496789,1
17,58,6,312,0.1034482758620689,5.379310344827586,52.0,9.666666666666666,2220,80,17,58,312,6,1.0,1.0,1.0,0.9640541410352405,1
18,58,6,312,0.1034482758620689,5.379310344827586,52.0,9.666666666666666,46815,80,17,58,312,6,1.0,1.0,1.0,0.9640541410352405,1
19,51,5,320,0.0980392156862745,6.2745098039215685,64.0,10.2,62963,80,6,51,320,5,1.0,1.0,1.0,0.8085615376424597,1
20,51,5,270,0.0980392156862745,5.294117647058823,54.0,10.2,80,62963,6,51,270,5,-1.0,-1.0,-1.0,0.6530689342496789,1
21,52,5,260,0.0961538461538461,5.0,52.0,10.4,48098,80,17,52,260,5,1.0,1.0,1.0,0.9640541410352405,1
22,51,5,320,0.0980392156862745,6.2745098039215685,64.0,10.2,45007,80,6,51,320,5,1.0,1.0,1.0,0.8085615376424597,1
23,51,5,270,0.0980392156862745,5.294117647058823,54.0,10.2,80,45007,6,51,270,5,-1.0,-1.0,-1.0,0.6530689342496789,1
24,51,5,260,0.0980392156862745,5.098039215686274,52.0,10.2,43373,80,17,51,260,5,1.0,1.0,1.0,0.9640541410352405,1
25,45,4,256,0.0888888888888888,5.688888888888889,64.0,11.25,9169,80,6,45,256,4,1.0,1.0,1.0,0.8085615376424597,1
26,45,4,216,0.0888888888888888,4.8,54.0,11.25,80,9169,6,45,216,4,-1.0,-1.0,-1.0,0.6530689342496789,1
27,44,4,256,0.0909090909090909,5.818181818181818,64.0,11.0,22178,80,6,44,256,4,1.0,1.0,1.0,0.8085615376424597,1
28,44,4,216,0.0909090909090909,4.909090909090909,54.0,11.0,80,22178,6,44,216,4,-1.0,-1.0,-1.0,0.6530689342496789,1
29,44,4,208,0.0909090909090909,4.7272727272727275,52.0,11.0,15745,80,17,44,208,4,1.0,1.0,1.0,0.9640541410352405,1
