Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
38,43,29,2,108,0.0689655172413793,3.724137931034482,54.0,14.5,80,60068,6,29,108,2,-1.0,-1.0,-1.0,0.6530689342496789,1
30,204,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.138089935299395,0.0,0.9648062312349496,2.310064682716687,0
14,164,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,0.1671315676162189,1.1391357828430966,0.4428610481746107,-0.1918708556403951,0
6,119,18,2,108,0.1111111111111111,6.0,54.0,9.0,13,0,1,18,108,2,1.0,1.0,1.0,1.0,1
40,352,10,1,74,0.1,7.4,74.0,10.0,52130,80,6,10,74,1,0.2568050933864685,0.7159109398550215,0.1184928758300046,-0.8741572761215376,0
34,346,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,-0.3676894487556815,1.1391357828430966,-0.8365153132187088,0.1370506111717107,0
26,166,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.2672612419124244,0.0,0.055131784641997,1.1660326493712798,0
14,99,10,1,74,0.1,7.4,74.0,10.0,39104,80,6,10,74,1,-0.2672612419124244,1.466033332275663,-0.8545426619509555,-1.1220314173195336,0
11,167,13,1,54,0.0769230769230769,4.153846153846154,54.0,13.0,13,0,1,13,54,1,1.0,1.0,1.0,1.0,1
31,333,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,1.50418410854597,-0.5849616182167253,0.4428610481746107,2.439500878856451,0
8,48,11,1,74,0.0909090909090909,6.7272727272727275,74.0,11.0,52058,80,6,11,74,1,0.2568050933864685,0.7159109398550215,0.1184928758300046,-0.8741572761215376,0
15,213,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.3644462590574144,2.5068139801541314,0.2041241452319314,-0.3354101966249684,0
13,79,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,0.2672612419124244,-1.466033332275663,-0.8545426619509555,1.1660326493712798,0
