type, timestamp, datapath_id, n_buffers, n_tables, capabilities, cookie, command, flags, idle_timeout, hard_timeout, priority, buffer_id, out_port, data,-./01234567, in_port, total_len, reason, eth_dst, eth_src, duration_sec, duration_nsec, packet_count, byte_count
 SwitchFeatures, 1711750725.7713041, 4, 0, 254," 79
",,,,,,,,,,,,,,,,,,,
 FLOWMOD, 1711750725.7713041, 4,,,, 0, 0, 0, 0, 0, 0, 4294967295," 0
",,,,,,,,,,,
 SwitchFeatures, 1711750725.7963486, 1, 0, 254," 79
",,,,,,,,,,,,,,,,,,,
 FLOWMOD, 1711750725.7963486, 1,,,, 0, 0, 0, 0, 0, 0, 4294967295," 0
",,,,,,,,,,,
 SwitchFeatures, 1711750725.8189785, 3, 0, 254," 79
",,,,,,,,,,,,,,,,,,,
 FLOWMOD, 1711750725.8189785, 3,,,, 0, 0, 0, 0, 0, 0, 4294967295," 0
",,,,,,,,,,,
 SwitchFeatures, 1711750725.8356326, 2, 0, 254," 79
",,,,,,,,,,,,,,,,,,,
 FLOWMOD, 1711750725.8356326, 2,,,, 0, 0, 0, 0, 0, 0, 4294967295," 0
",,,,,,,,,,,
 PACKETIN, 1711750729.2545242, 2,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\xad\xeb@\x00@\x01x\xb9\n\x00\x00\x02\n\x00\x00\x03\x08\x00\xaeAd\x82\x00\x01I\x07f\x00\x00\x00\x00\xd2\xc3\x03\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 PACKETIN, 1711750729.2633772, 1,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\xad\xeb@\x00@\x01x\xb9\n\x00\x00\x02\n\x00\x00\x03\x08\x00\xaeAd\x82\x00\x01I\x07f\x00\x00\x00\x00\xd2\xc3\x03\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
